S-8D  Kaldi   4 0.179435 S: 44, I: 19, D: 26
S-8D  Google  4 0.314516 S: 70, I: 11, D: 75
S-8D  Kaldi   5 0.128090 S: 33, I:  6, D: 18
S-8D  Google  5 0.276404 S: 60, I:  2, D: 61
S-27C Kaldi   0 0.212598 S: 40, I: 13, D: 28
S-27C Google  0 0.377953 S: 67, I:  0, D: 77
S-27C Kaldi   1 0.155340 S: 23, I:  8, D: 17
S-27C Google  1 0.288026 S: 31, I:  2, D: 56
S-27C Kaldi   2 0.146199 S: 35, I:  4, D: 11
S-27C Google  2 0.359649 S: 38, I:  2, D: 83
S-27C Kaldi   3 0.186099 S: 39, I: 17, D: 27
S-27C Google  3 0.347534 S: 49, I: 10, D: 96
S-27C Kaldi   4 0.158556 S: 52, I:  9, D: 40
S-27C Google  4 0.351648 S: 90, I:  3, D:131
S-27C Kaldi   5 0.204641 S:109, I: 18, D: 67
S-27C Google  5 0.319620 S:122, I: 10, D:171
S-27C Kaldi   6 0.180556 S: 14, I:  2, D: 10
S-27C Google  6 0.354167 S: 17, I:  0, D: 34
S-27C Kaldi   7 0.063830 S:  1, I:  1, D:  1
S-27C Google  7 0.212766 S:  4, I:  0, D:  6
S-27C Kaldi   8 0.279570 S: 17, I:  3, D:  6
S-27C Google  8 0.462366 S: 21, I:  0, D: 22
S-27C Kaldi   9 0.192308 S: 11, I:  2, D:  7
S-27C Google  9 0.355769 S:  8, I:  4, D: 25
S-27C Kaldi  10 0.317073 S:  7, I:  1, D:  5
S-27C Google 10 0.414634 S:  7, I:  0, D: 10
S-27C Kaldi  11 0.206522 S:  9, I:  0, D: 10
S-27C Google 11 0.413043 S: 14, I:  1, D: 23
S-10B Kaldi   0 0.213018 S: 14, I:  3, D: 19
S-10B Google  0 0.396450 S: 29, I:  2, D: 36
S-10B Kaldi   1 0.149635 S: 25, I:  3, D: 13
S-10B Google  1 0.306569 S: 47, I:  5, D: 32
S-10B Kaldi   2 0.181538 S: 32, I:  3, D: 24
S-10B Google  2 0.283077 S: 48, I:  4, D: 40
S-10B Kaldi   3 0.200680 S: 38, I:  4, D: 17
S-10B Google  3 0.278912 S: 45, I:  2, D: 35
S-10B Kaldi   4 0.165533 S: 43, I:  4, D: 26
S-10B Google  4 0.290249 S: 72, I:  4, D: 52
S-10B Kaldi   5 0.156818 S: 39, I: 13, D: 17
S-10B Google  5 0.247727 S: 56, I: 11, D: 42
S-10B Kaldi   6 0.191358 S: 13, I:  2, D: 16
S-10B Google  6 0.296296 S: 26, I:  0, D: 22
S-10B Kaldi   7 0.165254 S: 18, I:  0, D: 21
S-10B Google  7 0.258475 S: 43, I:  2, D: 16
S-10B Kaldi   8 0.173228 S: 24, I:  4, D: 16
S-10B Google  8 0.283465 S: 49, I:  0, D: 23
S-7C  Kaldi   0 0.214744 S: 65, I: 38, D: 31
S-7C  Google  0 0.291667 S:103, I: 20, D: 59
S-7C  Kaldi   1 0.241299 S: 56, I: 30, D: 18
S-7C  Google  1 0.368910 S: 95, I: 18, D: 46
S-7C  Kaldi   2 0.195312 S: 55, I: 23, D: 22
S-7C  Google  2 0.263672 S: 73, I:  7, D: 55
S-7C  Kaldi   3 0.267123 S: 66, I: 14, D: 76
S-7C  Google  3 0.392123 S:108, I:  7, D:114
S-7C  Kaldi   4 0.234450 S: 50, I: 13, D: 35
S-7C  Google  4 0.327751 S: 73, I:  2, D: 62
S-7C  Kaldi   5 0.230640 S: 65, I: 29, D: 43
S-7C  Google  5 0.336700 S: 99, I:  7, D: 94
S-5A  Kaldi   0 0.339623 S: 74, I: 29, D: 41
S-5A  Google  0 0.502358 S:104, I:  1, D:108
S-5A  Kaldi   1 0.268868 S: 25, I: 12, D: 20
S-5A  Google  1 0.448113 S: 44, I:  1, D: 50
S-5A  Kaldi   2 0.276758 S: 96, I: 27, D: 58
S-5A  Google  2 0.425076 S:130, I: 11, D:137
S-5A  Kaldi   3 0.233236 S: 42, I:  7, D: 31
S-5A  Google  3 0.419825 S: 59, I:  2, D: 83
S-5A  Kaldi   4 0.207006 S: 36, I:  7, D: 22
S-5A  Google  4 0.398089 S: 51, I:  4, D: 70
S-5A  Kaldi   5 0.269231 S: 61, I: 15, D: 50
S-5A  Google  5 0.457265 S:114, I:  1, D: 99
S-21A Kaldi   0 0.454902 S: 55, I:  1, D: 60
S-21A Google  0 0.658824 S: 73, I:  0, D: 95
S-21A Kaldi   1 0.393939 S: 44, I:  7, D: 53
S-21A Google  1 0.579545 S: 60, I:  1, D: 92
S-21A Kaldi   2 0.336898 S: 34, I:  6, D: 23
S-21A Google  2 0.604278 S: 44, I:  1, D: 68
S-21A Kaldi   3 0.371298 S: 72, I:  6, D: 85
S-21A Google  3 0.617312 S:125, I:  2, D:144
S-21A Kaldi   4 0.431138 S: 89, I: 19, D:108
S-21A Google  4 0.622754 S:137, I:  5, D:170
S-21A Kaldi   5 0.397727 S: 43, I:  3, D: 59
S-21A Google  5 0.632576 S: 73, I:  6, D: 88
S-21A Kaldi   6 0.427184 S: 16, I:  0, D: 28
S-21A Google  6 0.621359 S: 22, I:  0, D: 42
S-21A Kaldi   7 0.333333 S:  6, I:  0, D:  6
S-21A Google  7 0.611111 S:  8, I:  0, D: 14
S-21A Kaldi   8 0.256410 S:  5, I:  2, D:  3
S-21A Google  8 0.461538 S:  7, I:  0, D: 11
S-21A Kaldi   9 0.487805 S:  8, I:  0, D: 12
S-21A Google  9 0.731707 S: 13, I:  0, D: 17
S-21A Kaldi  10 0.290503 S: 21, I:  2, D: 29
S-21A Google 10 0.491620 S: 40, I:  0, D: 48
S-21A Kaldi  11 0.468571 S: 31, I:  0, D: 51
S-21A Google 11 0.634286 S: 44, I:  0, D: 67
S-22B Kaldi   0 0.227488 S: 27, I:  5, D: 16
S-22B Google  0 0.417062 S: 34, I:  2, D: 52
S-22B Kaldi   1 0.196507 S: 30, I:  7, D:  8
S-22B Google  1 0.331878 S: 27, I:  4, D: 45
S-22B Kaldi   2 0.210801 S: 70, I: 18, D: 33
S-22B Google  2 0.371080 S:100, I:  7, D:106
S-22B Kaldi   3 0.165992 S: 21, I:  6, D: 14
S-22B Google  3 0.360324 S: 27, I:  1, D: 61
S-22B Kaldi   4 0.220896 S: 33, I:  5, D: 36
S-22B Google  4 0.432836 S: 53, I:  1, D: 91
S-22B Kaldi   5 0.174387 S: 38, I: 10, D: 16
S-22B Google  5 0.392371 S: 51, I:  4, D: 89
S-22B Kaldi   6 0.272727 S:  4, I:  0, D:  5
S-22B Google  6 0.515152 S:  7, I:  0, D: 10
S-22B Kaldi   7 0.172840 S: 19, I:  1, D:  8
S-22B Google  7 0.265432 S: 22, I:  1, D: 20
S-22B Kaldi   8 0.164384 S: 22, I:  3, D: 11
S-22B Google  8 0.337900 S: 32, I:  1, D: 41
S-22B Kaldi   9 0.113636 S:  2, I:  1, D:  2
S-22B Google  9 0.250000 S:  2, I:  0, D:  9
S-22B Kaldi  10 0.194030 S: 30, I:  1, D:  8
S-22B Google 10 0.308458 S: 32, I:  1, D: 29
S-22B Kaldi  11 0.187192 S: 23, I:  6, D:  9
S-22B Google 11 0.403941 S: 40, I:  3, D: 39
S-26B Kaldi   0 0.222222 S: 10, I:  2, D:  6
S-26B Google  0 0.358025 S: 13, I:  0, D: 16
S-26B Kaldi   1 0.251046 S: 38, I:  8, D: 14
S-26B Google  1 0.355649 S: 38, I:  0, D: 47
S-26B Kaldi   2 0.235294 S: 32, I: 10, D: 22
S-26B Google  2 0.397059 S: 64, I:  4, D: 40
S-26B Kaldi   3 0.348148 S: 26, I:  6, D: 15
S-26B Google  3 0.474074 S: 32, I:  2, D: 30
S-26B Kaldi   4 0.200000 S: 31, I:  1, D: 25
S-26B Google  4 0.389474 S: 57, I:  5, D: 49
S-26B Kaldi   5 0.391192 S: 82, I:  8, D: 61
S-26B Google  5 0.510363 S:116, I:  3, D: 78
S-26B Kaldi   6 0.238372 S: 25, I:  3, D: 13
S-26B Google  6 0.308140 S: 18, I:  1, D: 34
